Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
Pilani Investment & Industries Corporation Ltd,PILANIINVS,Buy,5.0,,,1 Year,0.06666666666666665,2024-08-29 04:43:00+00:00,Upward
Mahanagar Gas Ltd,MGL24SEP1800CE,Buy,60.0,51.0,78.0,1-2 Days,0.0,2024-08-28 09:44:08+00:00,Upward
Nalwa Sons Investments Ltd,NSIL,Buy,4.0,,,1 Year,0.18125000000000002,2024-08-28 09:08:18+00:00,Upward
India Pesticides Ltd,IPL,Buy,223.0,213.0,246.0,5-10 Days,0.0,2024-08-28 09:01:16+00:00,Upward
Maharashtra Scooters Ltd,MAHSCOOTER,Buy,9.0,,,1 Year,0.06666666666666665,2024-08-28 06:45:52+00:00,Upward
FINNIFTY,FINNIFTY2490323500CE,Buy,186.0,162.0,250.0,INTRADAY,0.0,2024-08-28 05:49:00+00:00,Upward
Tata Investment Corporation Ltd,TATAINVEST,Buy,7750.0,7200.0,8700.0,5-10 Days,0.0,2024-08-28 04:57:42+00:00,Upward
Olectra Greentech Ltd,OLECTRA,Buy,1610.0,1550.0,1730.0,5-10 Days,0.0,2024-08-28 03:57:46+00:00,Upward
Lupin Ltd,LUPIN,Buy,2145.0,1910.0,,6 Months,-0.012499999999999992,2024-08-27 05:41:53+00:00,Downward
FINNIFTY,FINNIFTY24AUG23350CE,Buy,108.0,85.0,155.0,INTRADAY,0.0,2024-08-26 06:08:25+00:00,Upward
Larsen & Toubro Ltd,LT24SEP3600CE,Buy,115.0,101.0,142.0,1-2 Days,0.0,2024-08-26 06:03:03+00:00,Upward
Caplin Point Laboratories Ltd,CAPLIPOINT,Buy,1930.0,1544.0,,1 Year,-0.2851851851851852,2024-08-26 05:25:46+00:00,Downward
Jain Irrigation Systems Ltd,JISLJALEQS,Buy,74.0,59.0,,3 Months,0.5,2024-08-26 03:59:36+00:00,Upward
Coal India Ltd,COALINDIA24AUG530PE,Buy,4.0,1.0,7.0,1-2 Days,0.0,2024-08-23 05:41:56+00:00,Upward
Alok Industries Limited,ALOKINDS,Buy,29.0,23.0,,1 Year,-0.23174603174603176,2024-08-22 08:01:35+00:00,Downward
