Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Stock Movement
Aurobindo Pharma Ltd,AUROPHARMA24SEP1520CE,Buy,38.0,31.0,52.0,1-2 Days,0.0,Upward
NIFTY,NIFTY2491225000PE,Buy,202.0,160.0,320.0,INTRADAY,0.0,Upward
Ashoka Buildcon Ltd,ASHOKA,Buy,267.0,214.0,,3 Months,0.5,Upward
BANKNIFTY,BANKNIFTY11SEP2451300CE,Buy,448.0,390.0,580.0,INTRADAY,0.0,Upward
State Bank of India,SBIN24SEP820CE,Buy,17.0,13.0,22.0,1-2 Days,0.0,Upward
FINNIFTY,FINNIFTY2491023700CE,Buy,235.0,210.0,320.0,INTRADAY,0.0,Upward
SML ISUZU Ltd,SMLISUZU,Buy,2030.0,1910.0,2200.0,5-10 Days,0.0,Upward
Fertilizers & Chemicals Travancore Ltd,FACT,Buy,984.0,940.0,1080.0,5-10 Days,0.0,Upward
Sobha Ltd,SOBHA,Buy,1712.0,1648.0,1840.0,5-10 Days,0.0,Upward
BANKNIFTY,BANKNIFTY04SEP2451100CE,Buy,468.0,415.0,620.0,INTRADAY,0.0,Upward
Dalmia Bharat Ltd,DALBHARAT24SEP1840CE,Buy,60.0,49.0,82.0,1-2 Days,0.0,Upward
Selan Explorations Technology Ltd,SELAN,Buy,990.0,792.0,,6 Months,0.06000000000000001,Upward
Pilani Investment & Industries Corporation Ltd,PILANIINVS,Buy,5.0,,,1 Year,0.06666666666666665,Upward
Mahanagar Gas Ltd,MGL24SEP1800CE,Buy,60.0,51.0,78.0,1-2 Days,0.0,Upward
Nalwa Sons Investments Ltd,NSIL,Buy,4.0,,,1 Year,0.18125000000000002,Upward
India Pesticides Ltd,IPL,Buy,223.0,213.0,246.0,5-10 Days,0.0,Upward
Maharashtra Scooters Ltd,MAHSCOOTER,Buy,9.0,,,1 Year,0.06666666666666665,Upward
FINNIFTY,FINNIFTY2490323500CE,Buy,186.0,162.0,250.0,INTRADAY,0.0,Upward
Tata Investment Corporation Ltd,TATAINVEST,Buy,7750.0,7200.0,8700.0,5-10 Days,0.0,Upward
Olectra Greentech Ltd,OLECTRA,Buy,1610.0,1550.0,1730.0,5-10 Days,0.0,Upward
Lupin Ltd,LUPIN,Buy,2145.0,1910.0,,6 Months,-0.012499999999999992,Downward
FINNIFTY,FINNIFTY24AUG23350CE,Buy,108.0,85.0,155.0,INTRADAY,0.0,Upward
Larsen & Toubro Ltd,LT24SEP3600CE,Buy,115.0,101.0,142.0,1-2 Days,0.0,Upward
Caplin Point Laboratories Ltd,CAPLIPOINT,Buy,1930.0,1544.0,,1 Year,-0.2851851851851852,Downward
Jain Irrigation Systems Ltd,JISLJALEQS,Buy,74.0,59.0,,3 Months,0.5,Upward
Coal India Ltd,COALINDIA24AUG530PE,Buy,4.0,1.0,7.0,1-2 Days,0.0,Upward
Alok Industries Limited,ALOKINDS,Buy,29.0,23.0,,1 Year,-0.23174603174603176,Downward
Adani Ports & Special Economic Zone Ltd,ADANIPORTS24AUG1500CE,Buy,27.0,22.0,35.0,1-2 Days,0.2785714285714286,Upward
FINNIFTY,FINNIFTY24AUG23100CE,Buy,230.0,210.0,290.0,INTRADAY,0.0,Upward
United Spirits Ltd,UNITDSPR24AUG1420CE,Buy,16.0,11.0,26.0,1-2 Days,0.0,Upward
NIFTY,NIFTY2482224600CE,Buy,151.0,120.0,230.0,INTRADAY,0.0,Upward
Narayana Hrudayalaya Ltd,NH,Buy,1216.0,1160.0,1315.0,5-10 Days,0.0,Upward
Angel One Ltd,ANGELONE,Buy,2769.0,2215.0,,1 Year,-0.2851851851851852,Downward
Sheela Foam Ltd,SFL,Buy,933.0,,,1 Year,0.06666666666666665,Upward
Tata Technologies Ltd,TATATECH,Buy,1020.0,980.0,1100.0,5-10 Days,0.0,Upward
Larsen & Toubro Ltd,LT24AUG3550CE,Buy,59.0,47.0,83.0,1-2 Days,0.0,Upward
NIFTY,NIFTY2482224500CE,Buy,162.0,120.0,250.0,INTRADAY,0.0,Upward
BSE Ltd,BSE,Buy,2700.0,2575.0,2880.0,5-10 Days,0.0,Upward
Torrent Power Ltd,TORNTPOWER,Buy,1700.0,1635.0,1825.0,5-10 Days,0.0,Upward
Jubilant Pharmova Limited,JUBLPHARMA,Buy,853.0,682.0,,1 Year,-0.23174603174603176,Downward
Maruti Suzuki India Ltd,MARUTI24AUG12100PE,Buy,150.0,115.0,235.0,1-2 Days,0.0,Upward
Indraprastha Gas Ltd,IGL24AUG540PE,Buy,12.0,9.0,17.0,1-2 Days,0.0,Upward
Mankind Pharma Ltd,MANKIND,Buy,2200.0,2110.0,2370.0,5-10 Days,0.0,Upward
Coforge Ltd,COFORGE24AUG5900CE,Buy,180.0,155.0,225.0,1-2 Days,0.0,Upward
Saregama India Limited,SAREGAMA,Buy,497.0,445.0,,3 Months,-0.0853968253968254,Downward
Natco Pharma Ltd,NATCOPHARM,Buy,1501.0,1243.0,,6 Months,0.06000000000000001,Upward
Voltas,VOLTAS,Buy,1593.0,1274.0,,1 Year,-0.2851851851851852,Downward
FINNIFTY,FINNIFTY2481323000CE,Buy,25.0,2.0,70.0,INTRADAY,0.0,Upward
Orchid Pharma Ltd,ORCHPHARMA,Buy,1456.0,1390.0,1620.0,5-10 Days,0.0,Upward
BANKNIFTY,BANKNIFTY14AUG2450000CE,Buy,545.0,500.0,650.0,INTRADAY,0.0,Upward
BANKNIFTY,BANKNIFTY14AUG2450000CE,Buy,510.0,430.0,700.0,INTRADAY,0.0,Upward
Axis Bank Ltd,AXISBANK24AUG1120PE,Buy,19.0,14.0,30.0,1-2 Days,0.0,Upward
CCL Products (India) Ltd,CCL,Buy,648.0,615.0,718.0,5-10 Days,0.0,Upward
PNB Housing Finance Ltd,PNBHOUSING,Buy,808.0,770.0,890.0,5-10 Days,0.0,Upward
KPR Mill Limited,KPRMILL,Buy,955.0,764.0,,1 Year,-0.23174603174603176,Downward
Astral Ltd,ASTRAL24AUG2100CE,Buy,81.0,67.0,114.0,1-2 Days,0.0,Upward
BLS International Services Limited,BLS,Buy,385.0,308.0,,1 Year,-0.1853968253968254,Downward
PG Electroplast Ltd,PGEL,Buy,420.0,358.0,,6 Months,0.06000000000000001,Upward
Adani Ports & Special Economic Zone Ltd,ADANIPORTS,Buy,1575.0,1419.0,,6 Months,0.12244897959183675,Upward
Mahindra & Mahindra Ltd,M&M24AUG2800CE,Buy,72.0,61.0,85.0,1-2 Days,0.0,Upward
Rossari Biotech Ltd,ROSSARI,Buy,889.0,840.0,980.0,5-10 Days,0.0,Upward
NIFTY,NIFTY2480124950PE,Buy,13.0,1.0,40.0,INTRADAY,0.0,Upward
Delhivery Ltd,DELHIVERY,Buy,406.0,382.0,448.0,5-10 Days,0.0,Upward
Phillips Carbon Black Limited,PCBL,Buy,347.0,277.0,,1 Year,-0.21873015873015875,Downward
Life Insurance Corporation of India,LICI,Buy,1202.0,1138.0,1330.0,5-10 Days,0.0,Upward
NIFTY,NIFTY2480124800CE,Buy,165.0,130.0,230.0,INTRADAY,0.0,Upward
Torrent Power Ltd,TORNTPOWER,Buy,1855.0,1500.0,,6 Months,0.06000000000000001,Upward
MOIL Ltd,MOIL,Buy,499.0,440.0,,6 Months,0.06000000000000001,Upward
Jindal Steel & Power Ltd,JINDALSTEL24AUG980CE,Buy,34.0,29.0,42.0,1-2 Days,0.0,Upward
NIFTY,NIFTY2480124800CE,Buy,185.0,148.0,250.0,INTRADAY,0.0,Upward
MIDCAPNIFTY,MIDCPNIFTY2480512850CE,Buy,136.0,125.0,160.0,INTRADAY,0.0,Upward
NIFTY,NIFTY2480124800CE,Buy,152.0,120.0,230.0,INTRADAY,0.0,Upward
Zen Technologies Ltd,ZENTEC,Buy,1648.0,1328.0,,6 Months,0.06000000000000001,Upward
Dr Lal Pathlabs Ltd,LALPATHLAB24AUG3100CE,Buy,111.0,89.0,144.0,1-2 Days,0.0,Upward
Rites Ltd,RITES,Buy,762.0,610.0,,1 Year,-0.2851851851851852,Downward
Anant Raj Ltd,ANANTRAJ,Buy,557.0,460.0,,6 Months,0.06000000000000001,Upward
Ajmera Realty & Infra India Ltd,AJMERA,Buy,735.0,695.0,815.0,5-10 Days,0.0,Upward
Astrazeneca Pharma India Ltd,ASTRAZEN,Buy,7240.0,5792.0,,1 Year,-0.2851851851851852,Downward
BANKNIFTY,BANKNIFTY24JUL51000CE,Buy,325.0,270.0,470.0,INTRADAY,0.0,Upward
Maruti Suzuki India Ltd,MARUTI24AUG12500CE,Buy,351.0,285.0,480.0,1-2 Days,0.0,Upward
MIDCAPNIFTY,MIDCAP 12350,Buy,133.0,120.0,150.0,INTRADAY,0.0,Upward
