Date,Sender,Message
2024-11-28 03:15:54+00:00,-1001236360901,"IPO Events for Today 

 🗓 Thursday, 28 November 2024

🔑Opening Today
⭐️Agarwal Toughened Glass SME

✍️ Second Day
⭐️Apex Ecotech SME
⭐️ Abha Power SME

📕 𝗖𝗹𝗼𝘀𝗶𝗻𝗴 𝗧𝗼𝗱𝗮𝘆 
⭐️ Rajputana Biodiesel SME

💬 𝗔𝗹𝗹𝗼𝘁𝗺𝗲𝗻𝘁 
⭐️ Rajesh Power SME"
2024-11-27 18:11:54+00:00,-1001236360901,
2024-11-27 17:35:16+00:00,-1001236360901,"Enviro Infra IPO Allotment Out

Https://ipo.bigshareonline.com/ipo_status.html"
2024-11-27 16:25:27+00:00,-1001236360901,"Market Review | NTPC Green Energy IPO | Portfolio Update
https://youtu.be/09jVxQ3qSYg"
2024-11-27 14:58:54+00:00,-1001236360901,No Listing Day Bulk Deals in NTPC Green Energy IPO
2024-11-27 12:32:30+00:00,-1001236360901,FIIs were net buyers today
2024-11-27 11:47:10+00:00,-1001236360901,"According to latest update by the company, C2C Advanced SME IPO Listing is expected on or before Tuesday, December 03, 2024.

Find Revised Schedule in the image attached."
2024-11-27 11:10:00+00:00,-1001236360901,NTPC Green Energy Management Updates
2024-11-27 07:18:59+00:00,-1001236360901,"Rajesh Power SME Latest GMP

30,000

Closing Today"
2024-11-27 06:23:10+00:00,-1001236360901,"NTPC Green Listing Impact on Enviro GMP

Latest GMP 56 (High)"
2024-11-27 05:55:10+00:00,-1001236360901,"Latest GMP

Enviro 51"
2024-11-27 05:21:03+00:00,-1001236360901,UBS has initiated coverage on Swiggy with a Target Price of 515
2024-11-27 04:53:21+00:00,-1001236360901,"🚨BREAKING

NTPC Green Energy Locked in 10% Upper Circuit within 20 minutes of listing!"
2024-11-27 04:46:02+00:00,-1001236360901,"Massive Buying in NTPC Green Energy

Stock is up 8.6% Post Listing!!"
2024-11-27 04:31:14+00:00,-1001236360901,
2024-11-27 04:17:07+00:00,-1001236360901,NTPC Green Energy IPO Listed at a premium of 3.50
2024-11-27 03:42:05+00:00,-1001236360901,"NTPC Green Energy IPO Pre Open Links

NSE
https://www.nseindia.com/market-data/new-stock-exchange-listings-today

BSE
https://www.bseindia.com/stock-share-price/ntpc-green-energy-ltd/ntpcgreen/544289/"
2024-11-27 03:24:44+00:00,-1001236360901,"IPO Events for Today 

 🗓 Wednesday, 27 November 2024

🔑Opening Today
⭐️Apex Ecotech SME
⭐️ Abha Power SME

✍️ Second Day
⭐️ Rajputana Biodiesel SME

📕 𝗖𝗹𝗼𝘀𝗶𝗻𝗴 𝗧𝗼𝗱𝗮𝘆 
⭐️ Rajesh Power SME

💬 𝗔𝗹𝗹𝗼𝘁𝗺𝗲𝗻𝘁 
⭐️ Enviro Infra Engineers IPO (Mainboard)
⭐️ Lamosaic India SME IPO

📝 𝗟𝗶𝘀𝘁𝗶𝗻𝗴 
⭐️ NTPC Green Energy"
2024-11-26 18:02:15+00:00,-1001236360901,"Closing GMP for Today

NTPC 1
Enviro 47"
2024-11-26 16:40:25+00:00,-1001236360901,
2024-11-26 16:09:03+00:00,-1001236360901,"Market Review | Sectors in Action | IPO Stocks Hot
https://youtu.be/m8ZQCk_b-Nk"
2024-11-26 15:38:10+00:00,-1001236360901,GMP 48 (32%)
2024-11-26 14:36:39+00:00,-1001236360901,"🚨BREAKING

LIC has invested ₹593 crore as a QIB in the NTPC Green Energy IPO.

Earlier, LIC participated as an anchor investor, committing ₹500 crore.

In total, LIC has invested ₹1,093 crore out of the IPO size of ₹10,000 crore."
2024-11-26 13:40:21+00:00,-1001236360901,"Enviro Infra Final Day Complete Grey Market Action | Allotment Chances
https://youtu.be/yN5262_B3WU"
2024-11-26 12:46:08+00:00,-1001236360901,FIIs were net buyers today
2024-11-26 12:00:44+00:00,-1001236360901,"Enviro Infra IPO Final Subscription Figures

Approx Applications received 

Big HNI : 1,11,575
Small HNI : 1,56,103
Retail : 30,35,660

Chance of Allotment Remain

Big HNI : 1 Out of 36
Small HNI : 1 Out of 100
Retail : 1 Out of 20

QIBs : 157x = 20,383 Cr 🔥
FIIs : 4428 Cr 
DIIs : 9911 Cr 👍
Others : 5783 Cr 

Total App : 33.29 Lakh"
2024-11-26 11:12:48+00:00,-1001236360901,"QIB and HNI Closed in Enviro Infra IPO

QIB 20383Cr 157x

bHNI 111575 36x
sHNI 155719 100.5x"
2024-11-26 10:03:40+00:00,-1001236360901,"Sudden and Huge QIB Action in Enviro Infra IPO as of 3.30PM

17,000Cr+ 137x"
2024-11-26 09:44:32+00:00,-1001236360901,"Massive Buying in Enviro Infra IPO

GMP shoots up to 51 from 40 in just 30 minutes"
2024-11-26 09:27:38+00:00,-1001236360901,"🚨BREAKING

1 lakh BHNI Applications in Enviro Infra IPO

GMP 45"
2024-11-26 09:10:37+00:00,-1001236360901,"Enviro Infra IPO Day 3 Subscription Figures at 2:40PM

QIB  4600Cr 35.44x

Application wise
bHNI 96567 31.14x
sHNI 129792 83.75x
Retail 2429018 16x

Latest GMP 44"
2024-11-26 08:21:14+00:00,-1001236360901,"Enviro Infra IPO Day 3 Subscription Figures at 1:45PM

QIB  1997Cr 15.4x

Application wise
bHNI 78821 25.42x
sHNI 107800 69.55x
Retail 2135060 14x

Latest GMP 40"
2024-11-26 07:31:04+00:00,-1001236360901,"Latest GMP

NTPC 1
Enviro 40"
2024-11-26 06:35:24+00:00,-1001236360901,"Enviro Infra IPO Day 3 Subscription Figures at 12PM

QIB  351Cr 2.71x

Application wise
bHNI 52964 17x
sHNI 79489 51.3x
Retail 1832975 12.06x

Latest GMP 43 (29%)"
2024-11-26 06:08:45+00:00,-1001236360901,"SEBI Approved Following IPOs

▪️︎ Unimech Aerospace And Manufacturing Limited 
▪️︎ Kalpataru Limited

JSW Cement IPO Continues To Be In Abeyance"
2024-11-26 04:01:10+00:00,-1001236360901,"IPO Events for Today 

 🗓 Tuesday, 26 November 2024

📕 Closing Today
⭐️ Enviro Infra Engineers IPO (Mainboard)
⭐️ C2C Advanced System SME IPO
⭐️ Lamosaic India SME IPO

💬 Opening Today
⭐️ Rajputana BioDiesel SME IPO

No IPO Listings Today"
2024-11-26 03:18:22+00:00,-1001236360901,Suraksha Diagnostic IPO Complete Details
2024-11-26 02:22:10+00:00,-1001236360901,"NTPC GREEN ENERGY IPO ALLOTMENT OUT 

https://kosmic.kfintech.com/ipostatus/"
2024-11-25 18:19:53+00:00,-1001236360901,"Closing GMP for Today

NTPC 2
Enviro 48 (32%)"
2024-11-25 16:44:09+00:00,-1001236360901,"Those who have already applied for C2C Advanced Systems may withdraw their application by 3 PM on 28th November.

Linkintime, the registrar, has already started sending emails to IPO applicants."
2024-11-25 16:12:09+00:00,-1001236360901,"Enviro Infra IPO Final Decision | C2C SME IPO Sebi's Notice
https://youtu.be/GdF6tvtPWw8"
2024-11-25 14:50:25+00:00,-1001236360901,"NOTE: MSCI rebalancing of $2 Bn+ helps FIIs turn net buyers in cash market today

If we exclude this figure, even today FIIs were net sellers."
2024-11-25 13:36:08+00:00,-1001236360901,"My take on BJP led NDA's Victory in Maharashtra | Market View | IPO Stocks in Action
https://youtu.be/F5fq8MhJul0"
2024-11-25 13:06:27+00:00,-1001236360901,"🚨 BREAKING

FIIs have been net buyers today for the first time after being net sellers for 38 consecutive trading sessions.

The streak…

IS OVER!
38-1"
2024-11-25 12:27:21+00:00,-1001236360901,"Enviro Infra IPO Day 2 Applications 

bHNI 23565 7.6x
sHNI 43908 28.3x
Retail 1177572 7.75x"
2024-11-25 12:06:38+00:00,-1001236360901,Enviro Infra Day 2 Subscription Figures
2024-11-25 11:39:48+00:00,-1001236360901,"🚨BREAKING

C2C Adavanced SME IPO listing postponed

Company to give option to the investors (including anchors) who are subscribing to the IPO to withdraw their applications if they want. Before share allocation will happen. No new subscription will happen."
2024-11-25 11:13:30+00:00,-1001236360901,"Latest GMP

Enviro 46
NTPC 1

Some correction"
2024-11-25 08:49:29+00:00,-1001236360901,"Enviro Infra IPO Day 2 Subscription Figures at 2:15 PM

QIB 320Cr 2.47x

Application Wise
bHNI 14421 4.65x
sHNI 28095 18.13x
Retail 1092798 7.19x

GMP 49"
2024-11-25 08:19:12+00:00,-1001236360901,"Suraksha Diagnostics IPO Expected Soon

Retail 35%"
2024-11-25 07:40:22+00:00,-1001236360901,"Latest GMP

NTPC 4
Enviro 53"
2024-11-25 06:46:48+00:00,-1001236360901,"Upcoming IPOs in December 2024 (Expected)

1.International Gemological Institute IPO
2.Vishal Mega Mart IPO
3.Sai Life Sciences IPO
4.Avanse Financial Services IPO
5.DAM Capital Advisors IPO
6.Paras Healthcare IPO
7.Suraksha Diagnostic IPO
8.Mamata Machinery IPO
9.Transrail Lighting IPO"
2024-11-25 06:08:28+00:00,-1001236360901,Seems like December is going to be a busy IPO month.
2024-11-25 05:07:40+00:00,-1001236360901,"The IPOs of two subsidiaries of Coal India are expected soon. 

Shareholder Quota Expected

Note: Coal India launched its IPO in 2010 with a size of ₹15,200 crore and provided a listing gain of 17%."
